id,car_class,city_mpg,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
1708,truck,91,94,0,0,fwd,electricity,97,Mercedes,E350,a,2017
1709,suv,32,34,8,1.7,awd,diesel,37,Tesla,Model 3,m,2022
1710,van,22,25,4,3.6,rwd,gas,28,Toyota,RAV4,m,2018
1711,luxury,41,45,10,6.5,awd,gas,50,BMW,X3,m,2012
1712,economy,29,34,3,1.5,fwd,gas,39,Tesla,Model S,a,2016
1713,suv,60,62,6,1.2,fwd,diesel,65,Ford,Focus,a,2023
1714,suv,40,44,12,6.2,4wd,diesel,49,Nissan,Altima,a,2021
1715,suv,30,34,12,2.6,awd,diesel,39,BMW,528i,m,2019
1716,van,98,99,0,0,rwd,electricity,101,Mercedes,E350,m,2016
1717,economy,56,58,10,4.4,rwd,gas,61,Toyota,Corolla,a,2019
1718,suv,37,40,10,5.5,rwd,diesel,44,Mercedes,GLE350,a,2019
1719,economy,94,96,0,0,awd,electricity,99,Toyota,Corolla,m,2020
1720,economy,37,41,10,4.8,4wd,gas,45,Tesla,Model X,m,2012
1721,compact,97,101,0,0,4wd,electricity,105,Ford,F-150,a,2021
1722,economy,48,50,3,5.8,awd,diesel,52,Nissan,Sentra,a,2023
1723,truck,119,123,0,0,rwd,electricity,128,Tesla,Model X,m,2012
1724,economy,110,112,0,0,4wd,electricity,114,Mercedes,GLE350,m,2019
1725,van,21,26,4,3.6,rwd,gas,31,Chevrolet,Equinox,m,2016
1726,midsize,47,50,8,4.5,fwd,gas,53,Nissan,Versa,a,2016
1727,economy,58,61,6,3.1,awd,gas,64,Mercedes,GLC300,a,2017
1728,luxury,60,63,8,5.7,fwd,gas,66,Ford,F-150,a,2016
1729,compact,23,25,4,1.7,rwd,gas,27,Tesla,Model Y,m,2018
1730,economy,103,107,0,0,4wd,electricity,112,Honda,CR-V,a,2022
1731,truck,45,46,6,2.5,rwd,diesel,48,Nissan,Rogue,a,2016
1732,luxury,109,114,0,0,rwd,electricity,119,Toyota,Prius,a,2019
1733,economy,34,36,12,2.7,awd,gas,39,Toyota,Camry,m,2012
1734,fullsize,54,58,6,3.5,awd,gas,63,Mercedes,C300,a,2013
1735,luxury,50,52,10,3.2,awd,diesel,54,Ford,Focus,a,2011
1736,luxury,59,63,12,1.2,4wd,gas,68,Mercedes,C300,m,2017
1737,midsize,39,40,10,1,4wd,gas,42,Honda,CR-V,a,2013
1738,compact,47,51,6,4.4,4wd,diesel,56,Chevrolet,Cruze,a,2021
1739,suv,92,96,0,0,awd,electricity,100,BMW,X3,m,2022
1740,economy,94,95,0,0,awd,electricity,96,Ford,Fusion,a,2019
1741,economy,48,52,3,3.4,awd,gas,56,Mercedes,C300,m,2018
1742,midsize,56,61,8,3.4,rwd,gas,66,Toyota,Corolla,m,2023
1743,fullsize,30,32,12,4.8,rwd,gas,35,Tesla,Model S,a,2015
1744,midsize,34,35,10,2.9,rwd,gas,36,Mercedes,GLC300,a,2010
1745,fullsize,115,117,0,0,awd,electricity,119,Honda,Civic,a,2020
1746,luxury,52,57,4,2.3,rwd,gas,62,BMW,X3,a,2013
1747,fullsize,93,94,0,0,4wd,electricity,96,Toyota,Prius,m,2020
1748,suv,28,32,10,2.5,awd,gas,37,Mercedes,E350,m,2010
1749,luxury,93,96,0,0,fwd,electricity,100,Tesla,Model S,a,2019
1750,economy,16,19,10,3,fwd,gas,23,Toyota,Prius,a,2023
1751,economy,33,37,12,5.7,awd,diesel,41,Mercedes,GLE350,a,2020
1752,economy,45,47,8,2.1,awd,diesel,50,Mercedes,GLC300,a,2018
1753,economy,103,106,0,0,4wd,electricity,109,Nissan,Rogue,a,2018
1754,suv,38,39,6,2.8,fwd,diesel,41,Nissan,Rogue,m,2010
1755,midsize,38,43,12,2.7,rwd,gas,48,Chevrolet,Malibu,m,2020
1756,van,40,41,8,1.3,4wd,diesel,43,Ford,Fusion,a,2019
1757,van,14,17,3,3.6,fwd,diesel,20,Chevrolet,Equinox,m,2022
1758,economy,112,114,0,0,rwd,electricity,116,Ford,Focus,a,2013
1759,luxury,11,13,8,5.4,4wd,diesel,16,Chevrolet,Malibu,a,2016
1760,van,57,62,12,3.9,rwd,gas,67,Tesla,Model Y,m,2020
1761,compact,112,116,0,0,fwd,electricity,121,Nissan,Versa,m,2016
1762,economy,115,119,0,0,awd,electricity,123,BMW,320i,m,2012
1763,suv,99,102,0,0,fwd,electricity,105,Honda,Civic,a,2022
1764,economy,114,119,0,0,awd,electricity,124,Nissan,Rogue,m,2010
1765,suv,51,52,10,2.5,4wd,gas,53,Mercedes,C300,a,2015
1766,compact,25,26,10,6.4,4wd,diesel,28,Mercedes,GLE350,m,2011
1767,economy,108,111,0,0,rwd,electricity,115,Honda,Fit,m,2017
1768,suv,36,38,6,6.3,rwd,diesel,40,Honda,Fit,a,2017
1769,fullsize,105,110,0,0,fwd,electricity,115,Toyota,Prius,m,2021
1770,compact,52,55,3,1.5,awd,gas,59,Honda,Accord,m,2018
1771,economy,119,124,0,0,awd,electricity,129,Chevrolet,Equinox,m,2022
1772,compact,12,17,3,6.1,awd,diesel,22,Mercedes,GLE350,m,2016
1773,midsize,32,34,4,3.2,fwd,gas,37,Ford,Focus,m,2021
1774,truck,28,31,12,1,rwd,diesel,34,Mercedes,GLC300,a,2012
1775,luxury,16,17,3,4.5,awd,diesel,18,Nissan,Rogue,m,2013
1776,suv,15,17,12,4.8,awd,gas,19,Toyota,Camry,a,2023
1777,suv,20,23,12,5.1,rwd,diesel,27,Toyota,Corolla,a,2021
1778,suv,47,48,8,3.3,awd,gas,49,Ford,Fusion,a,2019
1779,truck,39,42,3,3.6,awd,gas,46,BMW,X5,a,2010
1780,suv,41,43,10,1.8,fwd,gas,46,Chevrolet,Malibu,a,2017
1781,luxury,37,41,6,6.4,fwd,diesel,45,Tesla,Model S,m,2011
1782,compact,14,17,4,6.4,fwd,gas,21,Toyota,RAV4,m,2019
1783,luxury,36,41,10,5.7,rwd,diesel,46,Toyota,RAV4,a,2014
1784,fullsize,115,119,0,0,fwd,electricity,124,Tesla,Model Y,a,2020
1785,suv,38,41,8,2.8,fwd,diesel,44,Honda,Fit,a,2021
1786,suv,22,27,4,5,4wd,diesel,32,Toyota,Prius,m,2013
1787,economy,59,63,3,5.6,awd,gas,68,Mercedes,E350,m,2014
1788,luxury,92,96,0,0,4wd,electricity,100,Nissan,Versa,a,2010
1789,truck,22,26,3,4,rwd,diesel,30,Tesla,Model X,m,2020
1790,van,25,29,12,4.3,rwd,gas,34,Tesla,Model 3,a,2015
1791,suv,45,48,12,1.9,4wd,diesel,51,Chevrolet,Cruze,m,2017
1792,truck,55,58,6,2.8,4wd,gas,62,Chevrolet,Malibu,m,2020
1793,van,39,40,8,5.6,4wd,diesel,41,Chevrolet,Equinox,m,2014
1794,midsize,41,46,6,1.1,awd,gas,51,Ford,F-150,m,2022
1795,economy,29,30,6,6.2,awd,diesel,32,BMW,X5,a,2021
1796,suv,114,116,0,0,rwd,electricity,119,Mercedes,GLE350,m,2011
1797,van,24,29,12,2.5,4wd,gas,34,BMW,320i,a,2020
1798,van,93,95,0,0,rwd,electricity,98,Ford,F-150,m,2020
1799,midsize,60,62,3,1.7,rwd,diesel,64,Mercedes,C300,m,2012
1800,van,116,121,0,0,rwd,electricity,126,Mercedes,GLE350,m,2021
1801,economy,48,49,4,2.7,rwd,gas,50,BMW,X5,a,2020
1802,van,60,64,6,6,rwd,diesel,68,Nissan,Altima,a,2018
1803,suv,16,17,12,4.3,rwd,diesel,18,Chevrolet,Malibu,a,2021
1804,compact,23,25,12,6.1,4wd,gas,28,Ford,Escape,a,2016
1805,midsize,16,18,12,2.9,rwd,gas,21,Honda,Accord,m,2012
1806,luxury,36,37,3,1.2,fwd,diesel,39,Toyota,Corolla,a,2018
1807,truck,29,30,4,1.1,fwd,gas,32,Mercedes,GLC300,a,2015
1808,suv,104,109,0,0,fwd,electricity,114,Nissan,Versa,a,2022
1809,fullsize,114,118,0,0,rwd,electricity,122,Ford,Focus,m,2020
1810,van,100,103,0,0,fwd,electricity,106,Honda,Civic,m,2019
1811,luxury,53,57,12,4.1,awd,diesel,62,Honda,CR-V,m,2015
1812,midsize,92,97,0,0,rwd,electricity,102,Honda,Civic,m,2018
1813,suv,60,62,10,5.2,awd,diesel,65,Ford,Escape,m,2017
1814,economy,102,103,0,0,rwd,electricity,104,Toyota,RAV4,a,2019
1815,economy,11,15,3,3.6,rwd,diesel,19,Honda,Accord,a,2013
1816,suv,37,42,4,1.7,rwd,diesel,47,Honda,Accord,a,2010
1817,suv,98,101,0,0,rwd,electricity,104,Toyota,RAV4,a,2022
1818,economy,99,104,0,0,awd,electricity,109,Toyota,Prius,m,2018
1819,fullsize,95,97,0,0,fwd,electricity,100,Mercedes,E350,m,2010
1820,fullsize,12,14,12,1.9,4wd,diesel,17,Mercedes,GLC300,a,2021
1821,van,24,28,3,4.9,rwd,gas,32,Tesla,Model X,a,2021
1822,compact,18,22,8,5.9,fwd,diesel,26,Nissan,Sentra,m,2017
1823,truck,20,24,10,4.5,fwd,diesel,29,Ford,Fusion,a,2016
1824,luxury,44,46,10,3.5,awd,diesel,49,Toyota,RAV4,m,2014
1825,luxury,101,103,0,0,4wd,electricity,106,Nissan,Sentra,a,2021
1826,compact,44,47,12,2.2,rwd,diesel,50,Ford,Fusion,m,2022
1827,truck,45,48,6,2.6,fwd,diesel,52,Tesla,Model Y,a,2015
1828,economy,10,15,6,4.8,awd,diesel,20,BMW,X3,m,2014
1829,compact,41,45,4,4.7,fwd,gas,50,Ford,Fusion,m,2014
1830,compact,112,117,0,0,fwd,electricity,122,Nissan,Versa,a,2020
1831,truck,49,51,6,3.6,rwd,diesel,53,Tesla,Model S,m,2018
1832,truck,13,18,8,1.4,4wd,diesel,23,Honda,CR-V,a,2017
1833,fullsize,12,16,10,1.9,fwd,gas,21,Toyota,Prius,a,2013
1834,suv,22,24,3,1.2,rwd,diesel,26,Honda,CR-V,m,2020
1835,compact,44,45,4,6.4,4wd,diesel,46,Honda,Civic,a,2013
1836,luxury,59,62,10,1.6,4wd,diesel,65,Mercedes,C300,a,2018
1837,truck,101,104,0,0,rwd,electricity,108,Toyota,Camry,m,2023
1838,luxury,55,58,3,3.3,fwd,gas,61,Nissan,Versa,a,2011
1839,luxury,119,122,0,0,fwd,electricity,125,Ford,Focus,a,2019
1840,suv,60,64,8,3.7,rwd,gas,69,Ford,F-150,m,2018
1841,economy,17,18,3,5.7,awd,diesel,20,Ford,Fusion,a,2019
1842,midsize,108,112,0,0,fwd,electricity,116,BMW,X5,a,2021
1843,luxury,108,112,0,0,rwd,electricity,116,BMW,320i,a,2018
1844,midsize,55,58,10,4,awd,diesel,62,Tesla,Model Y,m,2017
1845,economy,36,39,10,4,fwd,diesel,43,Toyota,Prius,m,2013
1846,compact,34,35,10,1.2,fwd,gas,37,Toyota,Corolla,m,2021
1847,compact,46,51,6,1.9,4wd,diesel,56,Tesla,Model 3,a,2021
1848,luxury,28,32,4,3.6,4wd,diesel,37,Chevrolet,Equinox,a,2011
1849,compact,96,99,0,0,fwd,electricity,103,Toyota,Corolla,a,2010
1850,compact,14,17,6,4.3,fwd,diesel,21,Toyota,Corolla,m,2018
1851,fullsize,60,64,3,1.5,4wd,gas,68,Toyota,RAV4,m,2013
1852,truck,32,35,3,4.6,awd,gas,38,Nissan,Rogue,a,2022
1853,compact,12,16,12,5.7,awd,gas,21,Tesla,Model 3,m,2014
1854,midsize,92,97,0,0,4wd,electricity,102,Mercedes,E350,m,2015
1855,van,54,56,12,2.1,rwd,diesel,58,Honda,CR-V,m,2019
1856,fullsize,90,91,0,0,4wd,electricity,92,Chevrolet,Malibu,a,2012
1857,midsize,19,21,4,1.7,awd,diesel,24,Ford,Escape,a,2023
1858,fullsize,32,37,12,2.5,fwd,diesel,42,Ford,Fusion,m,2021
1859,fullsize,57,58,8,3,fwd,gas,59,BMW,X5,m,2015
1860,van,18,23,4,2.3,4wd,gas,28,Chevrolet,Cruze,a,2015
1861,suv,96,99,0,0,awd,electricity,103,Toyota,Prius,a,2012
1862,midsize,44,48,6,1.4,rwd,gas,52,Mercedes,C300,a,2015
1863,luxury,20,21,8,4.3,rwd,gas,23,BMW,320i,m,2015
1864,midsize,20,23,3,4.8,rwd,gas,26,Toyota,Camry,a,2018
1865,midsize,19,21,3,1.1,fwd,gas,24,Ford,Focus,m,2022
1866,truck,55,56,3,2.2,rwd,gas,57,BMW,320i,a,2017
1867,truck,97,101,0,0,fwd,electricity,105,Ford,F-150,m,2010
1868,suv,94,98,0,0,awd,electricity,103,Chevrolet,Equinox,m,2012
1869,truck,107,108,0,0,rwd,electricity,109,Honda,Civic,m,2015
1870,compact,24,29,3,6,awd,diesel,34,BMW,X3,a,2016
1871,van,93,96,0,0,awd,electricity,100,Mercedes,GLE350,a,2018
1872,luxury,110,113,0,0,fwd,electricity,116,Chevrolet,Cruze,a,2010
1873,van,41,42,4,5.1,rwd,gas,43,Toyota,Camry,m,2011
1874,van,32,34,4,2.2,fwd,diesel,36,Honda,Civic,a,2013
1875,luxury,110,111,0,0,awd,electricity,112,Toyota,Prius,m,2021
1876,luxury,17,20,12,5,rwd,diesel,23,Toyota,Corolla,m,2011
1877,luxury,20,23,8,4.4,rwd,diesel,27,BMW,X5,a,2010
1878,compact,22,24,4,6.2,4wd,gas,26,BMW,X3,m,2018
1879,compact,117,119,0,0,4wd,electricity,122,Tesla,Model Y,a,2016
1880,economy,110,112,0,0,4wd,electricity,115,Nissan,Rogue,a,2010
1881,luxury,57,60,8,2.8,fwd,diesel,64,Chevrolet,Malibu,a,2023
1882,van,107,108,0,0,4wd,electricity,110,Chevrolet,Malibu,m,2011
1883,midsize,39,41,6,5.1,4wd,diesel,43,Toyota,RAV4,a,2012
1884,truck,113,117,0,0,fwd,electricity,121,Mercedes,C300,a,2010
1885,compact,32,36,10,3.2,rwd,diesel,41,Ford,Escape,a,2016
1886,fullsize,37,41,10,4.7,4wd,diesel,46,Toyota,RAV4,a,2016
1887,economy,12,16,4,3,4wd,diesel,21,Mercedes,C300,m,2023
1888,van,16,17,3,4.7,fwd,gas,18,BMW,X5,m,2012
1889,luxury,30,31,6,3.1,awd,gas,33,Chevrolet,Silverado,m,2017
1890,truck,20,23,12,1.4,rwd,gas,26,Mercedes,C300,a,2014
1891,suv,102,104,0,0,awd,electricity,107,Chevrolet,Cruze,a,2011
1892,van,19,20,4,1.3,rwd,diesel,22,Mercedes,C300,a,2022
1893,fullsize,49,52,10,3,fwd,gas,55,Mercedes,E350,m,2010
1894,truck,95,99,0,0,rwd,electricity,104,Chevrolet,Silverado,m,2015
1895,compact,16,17,12,3.2,fwd,diesel,19,Mercedes,C300,a,2018
1896,luxury,119,121,0,0,rwd,electricity,124,Ford,Fusion,m,2020
1897,midsize,39,44,12,2,rwd,diesel,49,BMW,X5,m,2016
1898,economy,10,14,3,1.8,fwd,diesel,19,Tesla,Model 3,m,2014
1899,truck,51,55,8,2,fwd,diesel,59,Tesla,Model X,m,2020
1900,luxury,15,16,10,1.9,fwd,gas,18,Toyota,RAV4,m,2011
1901,midsize,29,31,4,6,awd,diesel,34,Toyota,RAV4,a,2021
1902,van,44,46,10,1.9,awd,gas,49,Mercedes,GLC300,m,2013
1903,suv,105,107,0,0,rwd,electricity,110,Nissan,Rogue,a,2023
1904,van,30,32,10,1.9,4wd,gas,35,BMW,X5,m,2012
1905,suv,41,46,8,4.2,fwd,diesel,51,Tesla,Model Y,a,2014
1906,midsize,37,41,6,5.3,rwd,gas,45,Tesla,Model X,m,2018
1907,fullsize,21,24,8,2.7,awd,diesel,27,Chevrolet,Malibu,m,2012
1908,economy,92,93,0,0,rwd,electricity,94,Mercedes,C300,a,2022
1909,suv,118,122,0,0,awd,electricity,127,Honda,Civic,m,2013
1910,suv,38,40,12,1.8,rwd,gas,43,Chevrolet,Equinox,a,2022
1911,suv,58,59,12,2.9,4wd,gas,61,Chevrolet,Cruze,a,2019
1912,fullsize,33,36,10,1.6,4wd,gas,40,Ford,Fusion,a,2019
1913,suv,50,52,12,1.6,4wd,diesel,54,Chevrolet,Cruze,a,2010
1914,fullsize,50,52,10,2.3,4wd,gas,55,Nissan,Rogue,a,2015
1915,fullsize,119,124,0,0,fwd,electricity,129,Honda,Civic,m,2016
1916,suv,60,61,10,2.4,awd,gas,63,Chevrolet,Silverado,m,2020
1917,truck,90,93,0,0,awd,electricity,97,Honda,CR-V,a,2013
1918,truck,37,42,12,5.6,rwd,gas,47,Ford,F-150,m,2011
1919,van,57,62,6,5.1,rwd,gas,67,Honda,Civic,a,2020
1920,compact,59,61,8,3.9,rwd,diesel,63,Mercedes,E350,m,2016
1921,compact,57,61,6,3.3,fwd,gas,65,BMW,X5,a,2017
1922,economy,94,95,0,0,awd,electricity,96,Nissan,Sentra,a,2023
1923,compact,104,105,0,0,awd,electricity,107,Honda,CR-V,a,2023
1924,suv,98,100,0,0,awd,electricity,103,Tesla,Model S,m,2017
1925,compact,21,24,6,5.1,rwd,gas,27,Nissan,Sentra,a,2011
1926,truck,94,97,0,0,fwd,electricity,100,Ford,Escape,m,2018
1927,fullsize,21,25,3,2.8,rwd,gas,30,Ford,Focus,a,2014
1928,economy,45,46,6,3.4,fwd,diesel,48,Chevrolet,Cruze,a,2015
1929,compact,20,25,12,5.6,awd,diesel,30,BMW,X3,m,2019
1930,midsize,34,37,8,3.5,rwd,diesel,41,Chevrolet,Silverado,a,2016
1931,luxury,120,125,0,0,fwd,electricity,130,Toyota,Corolla,m,2017
1932,economy,50,54,8,2,fwd,diesel,58,Nissan,Sentra,m,2012
1933,fullsize,43,47,10,4.2,awd,diesel,51,Ford,Focus,a,2022
1934,fullsize,52,57,4,3.6,rwd,gas,62,Toyota,Corolla,m,2021
1935,truck,45,46,3,5.8,awd,diesel,48,Nissan,Versa,m,2013
1936,luxury,38,40,10,3.9,fwd,gas,43,Ford,Escape,m,2014
1937,economy,104,105,0,0,rwd,electricity,107,Toyota,Camry,m,2021
1938,economy,117,119,0,0,rwd,electricity,122,Tesla,Model X,m,2021
1939,suv,15,20,8,5.5,fwd,diesel,25,Honda,Fit,m,2013
1940,van,45,46,10,2,rwd,diesel,47,Tesla,Model X,m,2012
1941,van,17,22,8,4.3,rwd,diesel,27,Chevrolet,Equinox,m,2012
1942,suv,28,32,8,3.1,rwd,diesel,37,BMW,X3,m,2016
1943,compact,107,111,0,0,awd,electricity,115,Toyota,RAV4,m,2017
1944,van,20,24,8,4.9,fwd,gas,29,Honda,Fit,m,2013
1945,fullsize,17,21,3,5.7,fwd,gas,25,Nissan,Altima,m,2012
1946,midsize,41,42,10,3.5,fwd,gas,43,Nissan,Versa,a,2010
1947,van,60,65,4,1.3,awd,gas,70,Mercedes,C300,a,2021
1948,truck,54,59,3,1.7,4wd,diesel,64,Tesla,Model X,a,2023
1949,fullsize,90,93,0,0,fwd,electricity,96,Chevrolet,Silverado,m,2021
1950,truck,96,101,0,0,fwd,electricity,106,Honda,Civic,a,2012
1951,van,119,120,0,0,4wd,electricity,121,Ford,Fusion,m,2011
1952,suv,13,17,10,4.3,rwd,gas,21,Honda,CR-V,a,2014
1953,midsize,99,100,0,0,awd,electricity,101,BMW,X3,m,2015
1954,truck,11,14,8,1.5,awd,gas,18,Ford,Escape,m,2017
1955,compact,53,57,6,1.7,4wd,gas,61,Toyota,Camry,m,2019
1956,van,59,62,10,4.4,fwd,gas,66,Honda,Accord,a,2019
1957,luxury,14,18,12,5.6,rwd,gas,23,Nissan,Sentra,m,2015
1958,economy,20,24,3,3.7,4wd,diesel,29,Tesla,Model 3,m,2020
1959,compact,18,21,3,2,4wd,gas,25,Chevrolet,Equinox,m,2011
1960,luxury,110,113,0,0,fwd,electricity,117,Tesla,Model Y,m,2012
1961,economy,53,55,3,5.9,fwd,diesel,57,Nissan,Versa,a,2012
1962,fullsize,40,44,10,3.8,rwd,diesel,49,Mercedes,C300,a,2022
1963,luxury,108,109,0,0,fwd,electricity,110,Honda,Accord,a,2017
1964,midsize,92,96,0,0,rwd,electricity,100,BMW,320i,a,2016
1965,van,94,95,0,0,4wd,electricity,97,Tesla,Model X,a,2023
1966,fullsize,109,111,0,0,fwd,electricity,113,Mercedes,C300,a,2018
1967,compact,120,121,0,0,4wd,electricity,123,Honda,Fit,m,2016
1968,fullsize,13,15,10,5.9,rwd,diesel,18,Ford,F-150,a,2010
1969,luxury,107,108,0,0,4wd,electricity,110,Chevrolet,Silverado,a,2010
1970,truck,119,120,0,0,4wd,electricity,121,Mercedes,GLC300,m,2018
1971,midsize,53,54,3,2.2,rwd,gas,55,Chevrolet,Silverado,m,2016
1972,truck,12,14,10,6,fwd,diesel,17,BMW,X5,a,2013
1973,suv,30,33,3,1,awd,gas,37,Chevrolet,Silverado,m,2022
1974,van,92,93,0,0,awd,electricity,94,Chevrolet,Silverado,m,2010
1975,van,23,26,8,2.9,4wd,diesel,30,BMW,320i,a,2023
1976,van,29,30,8,1.1,4wd,diesel,32,Nissan,Versa,m,2011
1977,fullsize,96,99,0,0,fwd,electricity,102,Nissan,Versa,m,2021
1978,truck,116,118,0,0,awd,electricity,121,Toyota,Corolla,a,2013
1979,fullsize,16,20,10,1.4,awd,diesel,25,BMW,528i,m,2018
1980,fullsize,117,120,0,0,fwd,electricity,123,Tesla,Model 3,m,2019
1981,compact,56,58,12,6,fwd,gas,60,Toyota,RAV4,m,2016
1982,suv,27,30,4,4.6,4wd,diesel,34,Ford,Focus,m,2010
1983,van,46,50,6,5,awd,gas,54,Nissan,Rogue,m,2016
1984,van,25,27,8,6.3,4wd,gas,30,Nissan,Sentra,m,2018
1985,midsize,51,53,12,4.2,4wd,gas,55,Tesla,Model S,a,2014
1986,economy,44,48,10,3.8,fwd,diesel,53,Chevrolet,Malibu,a,2019
1987,midsize,37,41,10,5.2,4wd,diesel,45,Chevrolet,Silverado,m,2012
1988,luxury,120,122,0,0,fwd,electricity,125,Toyota,Prius,a,2014
1989,truck,13,16,6,3,4wd,gas,20,Nissan,Versa,a,2017
1990,midsize,52,56,8,1.1,rwd,gas,60,Toyota,Camry,m,2014
1991,truck,95,98,0,0,rwd,electricity,102,Tesla,Model X,m,2020
1992,midsize,10,13,8,6.1,awd,gas,17,Tesla,Model 3,a,2018
1993,suv,96,99,0,0,awd,electricity,103,Toyota,Prius,a,2019
1994,suv,108,111,0,0,4wd,electricity,114,Toyota,Prius,a,2017
1995,truck,12,13,10,2.8,fwd,diesel,14,Mercedes,GLC300,a,2010
1996,truck,32,33,6,3,rwd,diesel,35,Honda,CR-V,m,2015
1997,luxury,31,34,4,3.6,rwd,gas,38,Toyota,Corolla,a,2011
1998,suv,47,49,6,5.1,awd,diesel,51,Toyota,RAV4,a,2020
1999,suv,50,54,10,2.2,awd,diesel,59,Nissan,Versa,m,2013
2000,midsize,96,98,0,0,fwd,electricity,100,Honda,CR-V,a,2021
